Target,Planet Name,TSM,ESM (5um),Mass (M_J),Mass (M_E),Radius (R_J),Radius (R_E),T_eq,Star SpT,Star Vmag,Event,Mode,Status,Category,Program,PI Name
TRAPPIST-1,TRAPPIST-1 h,0.091,0.0,0.00103,0.326,0.067,0.755,172.0,nan,17.02,Transit,NIRSPEC.BOTS+PRISM,Skipped,GO,2589,Lim
TRAPPIST-1,TRAPPIST-1 h,0.091,0.0,0.00103,0.326,0.067,0.755,172.0,nan,17.02,Transit,NIRSPEC.BOTS+PRISM,Archived,GO,2589,Lim
TRAPPIST-1,TRAPPIST-1 h,0.091,0.0,0.00103,0.326,0.067,0.755,172.0,nan,17.02,Transit,NIRSPEC.BOTS+PRISM,Archived,GO,2589,Lim
HATS-72,HATS-72 b,0.221,0.035,0.1254,39.85588,0.722,8.097,739.0,nan,12.324,Transit,NIRSPEC.BOTS+G395M,Archived,GO,2594,Spake
HATS-72,HATS-72 b,0.221,0.035,0.1254,39.85588,0.722,8.097,739.0,nan,12.324,Transit,NIRISS.SOSS,Archived,GO,2594,Spake
HD-209458,HD 209458 b,0.973,0.999,0.73,232.0159,1.39,15.581,1459.0,G0 V,7.65,Transit,MIRI.LRS,Skipped,GO,2667,Wakeford
HD-209458,HD 209458 b,0.973,0.999,0.73,232.0159,1.39,15.581,1459.0,G0 V,7.65,Transit,MIRI.LRS,Archived,GO,2667,Wakeford
LTT1445A,LTT 1445 A b,0.162,0.009,0.00859,2.73,0.105,1.18,555.0,M3.0,10.59,Eclipse,MIRI.LRS,Archived,GO,2708,Berta-Thompson
LTT1445A,LTT 1445 A b,0.162,0.009,0.00859,2.73,0.105,1.18,555.0,M3.0,10.59,Eclipse,MIRI.LRS,Archived,GO,2708,Berta-Thompson
LTT1445A,LTT 1445 A b,0.162,0.009,0.00859,2.73,0.105,1.18,555.0,M3.0,10.59,Eclipse,MIRI.LRS,Archived,GO,2708,Berta-Thompson
K2-18,K2-18 b,0.04,0.0,0.02807,8.92,0.211,2.37,284.0,M2.5 V,13.477,Transit,NIRSPEC.BOTS+G395H,Archived,GO,2722,Madhusudhan
K2-18,K2-18 b,0.04,0.0,0.02807,8.92,0.211,2.37,284.0,M2.5 V,13.477,Transit,MIRI.LRS,Archived,GO,2722,Madhusudhan
K2-18,K2-18 b,0.04,0.0,0.02807,8.92,0.211,2.37,284.0,M2.5 V,13.477,Transit,NIRISS.SOSS,Archived,GO,2722,Madhusudhan
HAT-P-18,HAT-P-18 b,0.295,0.069,0.197,62.61,0.995,11.153,852.0,K2,12.597,Transit,NIRISS.SOSS,Archived,COM,2734,Pontoppidan
WASP-96,WASP-96 b,0.113,0.086,0.48,152.55,1.2,13.45,1285.0,G8,12.569,Transit,NIRISS.SOSS,Archived,COM,2734,Pontoppidan
L-231-32,TOI-270 d,0.106,0.001,0.01504,4.78,0.19,2.133,387.0,M,12.603,Transit,NIRISS.SOSS,Archived,GTO,2759,Lafreniere
TOI-849,TOI-849 b,0.015,0.019,0.13152,41.8,0.325,3.64,1932.0,G,11.981,PhaseC,NIRSPEC.BOTS+PRISM,Withdrawn,SURVEY,2765,Valenti
TOI-849,TOI-849 b,0.015,0.019,0.13152,41.8,0.325,3.64,1932.0,G,11.981,PhaseC,NIRSPEC.BOTS+PRISM,Withdrawn,SURVEY,2765,Valenti
TOI-849,TOI-849 b,0.015,0.019,0.13152,41.8,0.325,3.64,1932.0,G,11.981,PhaseC,NIRSPEC.BOTS+PRISM,Withdrawn,SURVEY,2765,Valenti
TOI-2109,TOI-2109 b,0.028,0.313,5.02,1595.4986,1.347,15.098,3646.0,F,10.217,PhaseC,NIRSPEC.BOTS+G395H,Withdrawn,SURVEY,2765,Valenti
TOI-2109,TOI-2109 b,0.028,0.313,5.02,1595.4986,1.347,15.098,3646.0,F,10.217,PhaseC,NIRSPEC.BOTS+G395H,Withdrawn,SURVEY,2765,Valenti
TOI-2109,TOI-2109 b,0.028,0.313,5.02,1595.4986,1.347,15.098,3646.0,F,10.217,PhaseC,NIRSPEC.BOTS+G395H,Withdrawn,SURVEY,2765,Valenti
WASP-39,WASP-39 b,0.408,0.146,0.28,88.989,1.332,14.93,1166.0,nan,12.095,Transit,MIRI.LRS,Archived,DD,2783,Powell
HAT-P-1,HAT-P-1 b,0.319,0.225,0.525,166.86075,1.319,14.785,1322.0,G0 V,9.827,Transit,MIRI.LRS,Archived,GO,2950,Waters
HD106315,HD 106315 c,0.099,0.011,0.04782,15.2,0.388,4.35,886.0,F5 V,8.951,Transit,MIRI.LRS,Archived,GO,2950,Waters
